(2) {'3S', 'AC', '7D', '2S', '5D'} won by high card A
(1) {'AD', 'AC', '5D', '5C', '9C'} won by 2 pair
(1) {'3H', 'KC', 'JS', '6S', '7H'} won by high card K
(2) {'KS', '4D', 'JS', 'JC', '9H'} won by a higher pair K
(2) {'AD', '4C', 'AS', 'KH', '4S'} won by 2 pair
(1) {'5H', 'KS', '7D', '9H', '9C'} won by a higher pair A
(1) {'3H', '5C', '2H', '4H', '6H'} won by straight
(2) {'3H', '7S', '4C', 'KS', 'KC'} won by a higher pair K
(2) {'4C', 'KH', 'QS', 'AC', 'QC'} won by pair
(1) {'5H', '2D', '2H', 'JC', '6S'} won by pair
(2) {'3S', 'AS', 'AC', 'TS', '6D'} won by pair
(1) {'TC', '5S', '2H', '4S', '5C'} won by pair
(1) {'AS', 'QD', 'JS', '6H', '2C'} won by high card A
(2) {'3S', 'KC', '4H', '6S', '6D'} won by pair
(2) {'JD', 'QH', '4S', '9S', '4H'} won by pair
(2) {'AC', 'QD', '8H', '5C', 'TS'} won by high card A
(2) {'AD', 'AS', 'QS', '2H', '8H'} won by a higher pair A
(1) {'6C', '8S', '4C', '8D', '6S'} won by 2 pair
(2) {'9D', 'AC', '9S', '9C', '3D'} won by three
(1) {'JH', '3C', 'QS', '2S', '4H'} won by high card Q
(2) {'AS', '7D', 'JD', '8C', '7H'} won by pair
(1) {'9D', 'TD', 'JH', 'AS', '6H'} won by high card A
(2) {'3C', 'AC', '5C', 'TS', '3D'} won by pair
(2) {'3S', '6C', 'TS', 'AD', '8C'} won by high card A
(2) {'2H', 'JC', '3D'} won by high card J and pair 5
(2) {'JD', '5D', 'JS', '8H', '7H'} won by pair
(1) {'KH', 'QS', 'AS', 'JS', '4H'} won by high card A
(2) {'KD', 'AS', '4D', '9S', 'JC'} won by high card A
(1) {'5H', 'KH', '4D', '5D', 'QD'} won by pair
(1) {'9D', '5C', '9H', '6H', '2C'} won by pair
(1) {'JH', 'AS', '7D', 'QD', '6D'} won by high card A
(1) {'3H', 'AD', 'KH', 'QD', '8C'} won by high card A
(1) {'9D', '8S', '4D', '9S', 'AH'} won by pair
(2) {'8S', 'AD', '9H', 'AH', 'TS'} won by pair
(1) {'KD', '5D', '9H', '5C', '7H'} won by pair
(2) {'TC', '9D', 'QH', '9H', 'TS'} won by 2 pair
(2) {'AD', 'KH', 'QC', 'JS', '6D'} won by high card A
(1) {'9D', '3H', 'JD', '9S', '5C'} won by pair
(2) {'9D', 'AD', 'KH', '7D', '9S'} won by pair
(1) {'7C', 'KC', 'JS', 'JC', '9C'} won by a higher pair A
(2) {'8S', '8H', 'JC', '9H', '9C'} won by 2 pair
(2) {'9D', 'AD', '4H', '9H', '6D'} won by pair
(1) {'3S', 'KH', 'QS', 'KS', '7H'} won by a higher pair A
(1) {'TC', 'TH', '2H', '6H', '2C'} won by 2 pair
(2) {'4C', 'KH', 'TH', '4D', '6D'} won by pair
(2) {'6C', '2D', '3C', '9H', '6D'} won by pair
(2) {'3H', '4C', '9H', '9C', '7H'} won by pair
(1) {'JH', '5H', '7S', 'TD', 'TS'} won by a higher pair A
(2) {'9D', '8S', '5H', '2S', '8D'} won by pair
(1) {'KH', 'KS', '2S', '4H', '9S'} won by pair
(2) {'AS', 'AC', '2S', '5D', '8D'} won by a higher pair A
(2) {'3C', '5S', 'JS', '9S', '9C'} won by pair
(1) {'3S', 'AD', '3C', 'KS', '3D'} won by three
(2) {'6C', 'QS', 'KC', 'QD', '3D'} won by pair
(2) {'TC', '3C', 'QC', 'JS', 'QH'} won by a higher pair Q
(2) {'8S', 'JH', '9S', '8C', '9C'} won by 2 pair
(1) {'8S', '2H', 'QC', '4D', 'QH'} won by pair
(2) {'3H', '7S', '3C', 'AS', '6S'} won by pair
(2) {'AC', '8H', 'JC', 'AH', 'TS'} won by a higher pair A
(2) {'3H', '3C', 'JC', '5C', '7H'} won by pair
(1) {'3S', 'AD', '4C', '3C', '3D'} won by three
(2) {'AD', 'JD', '8H', 'AH', 'TS'} won by pair
(2) {'3S', 'TC', 'JD', '4D', '3D'} won by pair
(2) {'TD', 'KC', '7D', '6S', 'TS'} won by pair
(1) {'3S', 'TC', 'JH', '8H', '8D'} won by pair
(1) {'9D', 'TH', 'KC', 'QH', '2C'} won by high card K
(1) {'3C', 'KH', 'QS', 'QD', '8H'} won by a higher pair A
(2) {'KD', 'TC', 'JD', '8C', '9C'} won by high card K
(1) {'TC', '8C', 'QC', 'JD', 'TS'} won by pair
(2) {'AS', 'KH', '9H', '6S', '6H'} won by pair
(1) {'JH', '2D', '2H', '4D', 'AH'} won by pair
(1) {'KD', 'JH', 'QD', '9S', '8C'} won by high card K
(2) {'7C', '7S', 'KC', '6H', '9C'} won by pair
(2) {'8S', 'KS', 'QC', 'JS', '4H'} won by high card K
(2) {'7C', 'KD', '6C', '2D', '7D'} won by pair
(1) {'JS', '4H', 'JC', '6S', '6H'} won by 2 pair
(2) {'KH', 'KC', '5D', '5C', '3D'} won by 2 pair
(2) {'KS', 'JD', 'QH', '6S', '6D'} won by pair
(1) {'8S', '7S', '2S', 'QH', '8C'} won by pair
(1) {'6C', '8S', '3C', '6H', '2C'} won by a higher pair 10
(2) {'QC', 'QD', 'JS', '7H', '6D'} won by pair
(2) {'KH', '2H', '8H', '4H', '6H'} won by flush
(1) {'KD', '2D', 'KS', '5D', 'JS'} won by pair
(2) {'3S', '2D', '7S', 'JD', 'AH'} won by high card A
(1) {'8S', 'AS', 'QH', 'JC', 'AH'} won by pair
(1) {'7C', 'TD', '5H', '5D', 'JC'} won by pair
(1) {'AC', '7D', 'KC', '2H', 'AH'} won by pair
(1) {'8S', '5S', '9S', '6H', '9C'} won by pair
(2) {'7C', '5S', 'AC', '5D', '7H'} won by 2 pair
(2) {'TS', '7D', '2H', '2C', '8C'} won by pair
(1) {'KD', 'KC', '7D', '6S', '3D'} won by a higher pair K
(2) {'7C', 'KD', '3H', '5S', 'KC'} won by a higher pair K
(2) {'7C', 'TD', '4C', 'KC', '7H'} won by a higher pair K
(2) {'TD', 'KS', '8H', '9S', '8C'} won by pair
(2) {'KS', 'KC', '2C', '9S', 'AH'} won by pair
